"language","threads","workload","run_id","config_type","wall_time_s","cpu_pct","peak_rss_kb","phase","repeat"
"rust",8,"parallel_sort","rust_phase2_sort_p_best_p8_r10","p_best",0.020000,235,24248,2,10
"rust",1,"producer_consumer","rust_phase2_prod-cons_p_base_p1_r1","p_base",0.020000,100,2388,2,1
"rust",1,"producer_consumer","rust_phase2_prod-cons_p_base_p1_r2","p_base",0.020000,100,2344,2,2
"rust",1,"producer_consumer","rust_phase2_prod-cons_p_base_p1_r3","p_base",0.020000,100,2240,2,3
"rust",1,"producer_consumer","rust_phase2_prod-cons_p_base_p1_r4","p_base",0.020000,95,2344,2,4
"rust",1,"producer_consumer","rust_phase2_prod-cons_p_base_p1_r5","p_base",0.020000,95,2344,2,5
"rust",1,"producer_consumer","rust_phase2_prod-cons_p_base_p1_r6","p_base",0.020000,95,2288,2,6
"rust",1,"producer_consumer","rust_phase2_prod-cons_p_base_p1_r7","p_base",0.020000,95,2240,2,7
"rust",1,"producer_consumer","rust_phase2_prod-cons_p_base_p1_r8","p_base",0.020000,100,2360,2,8
"rust",1,"producer_consumer","rust_phase2_prod-cons_p_base_p1_r9","p_base",0.020000,100,2240,2,9
"rust",1,"producer_consumer","rust_phase2_prod-cons_p_base_p1_r10","p_base",0.020000,100,2240,2,10
